question,option_1,option_2,correct_index
"CPU stands for ______ which is responsible for executing instructions. (ما معنى CPU كوحدة مسؤولة عن تنفيذ التعليمات)","Central Processing Unit (وحدة المعالجة المركزية)","Central Program Unit (وحدة البرنامج المركزية)",0
"The main function of the CPU is to ______ data into useful information. (الوظيفة الأساسية للمعالج هي ____ البيانات)","store (خزن)","process (معالجة)",1
"The ALU is the part of CPU that performs ______ operations. (وحدة ALU تنفذ عمليات ___)","arithmetic and logic (حسابية ومنطقية)","control and storage (تحكم وخزن)",0
"The Control Unit is responsible for ______ all operations inside the CPU. (وحدة التحكم مسؤولة عن ___ جميع العمليات)","executing (تنفيذ)","directing (توجيه)",1
"RAM is a ______ memory that loses data when power is off. (RAM هي ذاكرة ___ تفقد البيانات بانقطاع الكهرباء)","non-volatile (غير متطايرة)","volatile (متطايرة)",1
"ROM is mainly used to store ______ instructions. (تُستخدم ROM لخزن تعليمات ___)","booting (الإقلاع)","temporary processing (المعالجة المؤقتة)",0
"Cache memory is placed ______ the CPU to increase speed. (الذاكرة المخبأة توجد ___ المعالج)","inside (داخل)","outside (خارج)",0
"Registers are considered the ______ type of memory in a computer system. (المسجلات تُعد ___ أنواع الذاكرة)","slowest (الأبطأ)","fastest (الأسرع)",1
"The Program Counter (PC) stores the ______ of the next instruction. (عداد البرنامج يخزن ___ التعليمة التالية)","instruction itself (التعليمة نفسها)","address (العنوان)",1
"The instruction cycle begins with the ______ stage. (دورة التعليمة تبدأ بمرحلة ___)","execute (تنفيذ)","fetch (جلب)",1
"Main memory usually refers to ______. (الذاكرة الرئيسية تشير عادةً إلى ___)","RAM","Hard Disk",0
"Secondary storage devices are used for ______ data storage. (الخزن الثانوي يُستخدم لخزن البيانات بشكل ___)","temporary (مؤقت)","permanent (دائم)",1
"A hard disk is classified as a ______ storage device. (القرص الصلب يُصنف كجهاز خزن ___)","primary (أولي)","secondary (ثانوي)",1
"Input devices are used to ______ data into the computer. (أجهزة الإدخال تُستخدم لـ ___ البيانات)","output (إخراج)","enter (إدخال)",1
"Output devices are used to ______ processed information. (أجهزة الإخراج تُستخدم لـ ___ المعلومات المعالجة)","display (عرض)","store (خزن)",0
"A touch screen is considered both an input and ______ device. (شاشة اللمس جهاز إدخال و ___)","storage (خزن)","output (إخراج)",1
"The data bus is responsible for carrying ______. (ناقل البيانات مسؤول عن نقل ___)","addresses (العناوين)","actual data (البيانات)",1
"The address bus carries the ______ of memory locations. (ناقل العناوين ينقل ___ مواقع الذاكرة)","data values (قيم البيانات)","addresses (العناوين)",1
"The control bus transmits ______ signals. (ناقل التحكم ينقل إشارات ___)","control (تحكم)","data (بيانات)",0
"BIOS is stored permanently in ______ memory. (يُخزن BIOS بشكل دائم في ذاكرة ___)","ROM","RAM",0
"Flash memory is considered a ______ storage. (ذاكرة الفلاش تُعد خزنًا ___)","volatile (متطاير)","non-volatile (غير متطاير)",1
"CPU speed is measured in ______. (تُقاس سرعة المعالج بوحدة ___)","Hertz (هرتز)","Bytes (بايت)",0
"One byte consists of ______ bits. (يتكون البايت الواحد من ___ بت)","8","16",0
"The Fetch stage gets the instruction from ______. (مرحلة الجلب تحصل على التعليمة من ___)","RAM","Register",0
"The Decode stage is responsible for ______ the instruction. (مرحلة فك الشفرة مسؤولة عن ___ التعليمة)","interpreting (تفسير)","executing (تنفيذ)",0
"The Execute stage performs the ______ operation. (مرحلة التنفيذ تنفذ العملية ___)","required (المطلوبة)","stored (المخزونة)",0
"Programs currently running are stored in ______. (البرامج التي تعمل حاليًا تُخزن في ___)","ROM","RAM",1
"Cache memory helps to ______ access time. (الذاكرة المخبأة تساعد على ___ زمن الوصول)","increase (زيادة)","reduce (تقليل)",1
"The smallest storage unit in memory hierarchy is the ______. (أصغر وحدة خزن في تسلسل الذاكرة هي ___)","Register","Cache",0
"A scanner is used to convert ______ data into digital form. (الماسح يحول البيانات ___ إلى رقمية)","paper-based (ورقية)","audio (صوتية)",0
"Operating system is classified as ______. (نظام التشغيل يُصنف كـ ___)","hardware (عتاد)","software (برمجيات)",1
"The Control Unit does NOT perform ______ operations. (وحدة التحكم لا تنفذ عمليات ___)","arithmetic (حسابية)","coordination (تنسيق)",0
"Mainframes are designed to handle ______ workloads. (الحواسيب المركزية مصممة للتعامل مع أحمال ___)","small personal (شخصية صغيرة)","large-scale (كبيرة الحجم)",1
"The instruction itself is stored in the ______ Register. (التعليمة نفسها تُخزن في المسجل ___)","Instruction Register","Program Counter",0
"The output of ALU is usually sent to a ______. (ناتج ALU يُرسل عادةً إلى ___)","Register","Hard Disk",0
"A computer fundamentally works on ______ processing. (الحاسوب يعمل أساسًا بالمعالجة ___)","mechanical (ميكانيكية)","electronic (إلكترونية)",1
"Secondary storage has ______ access speed compared to RAM. (الخزن الثانوي يمتلك سرعة وصول ___ مقارنة بـ RAM)","higher (أعلى)","lower (أقل)",1
"Registers are located ______ the CPU. (المسجلات توجد ___ المعالج)","inside (داخل)","outside (خارج)",0
