lecture_number,lecture_name,question,option_1,option_2,option_3,option_4,correct_option
1,Present Simple,Which sentence is in the present simple tense?,She plays football every day,She is playing football now,She played football yesterday,She will play football tomorrow,option_1
1,Present Simple,Present simple is mainly used to express:,Habits and facts,Actions happening now,Future plans,Past actions,option_1
1,Present Simple,Which word is often used with present simple?,Always,Now,At the moment,Yesterday,option_1
1,Present Simple,"In present simple, the verb takes (s/es) with:",He / She / It,I / You / We,All subjects,Past subjects,option_1
1,Present Simple,Which sentence is correct?,He works in an office,He work in an office,He working in an office,He worked in an office,option_1
2,Present Continuous,Which tense describes an action happening now?,Present continuous,Present simple,Past simple,Future simple,option_1
2,Present Continuous,Which sentence is in present continuous?,She is studying now,She studies every day,She studied yesterday,She will study tomorrow,option_1
2,Present Continuous,Present continuous is formed using:,am/is/are + verb-ing,verb + s,verb + ed,will + verb,option_1
2,Present Continuous,Which word signals present continuous?,Now,Always,Usually,Every day,option_1
2,Present Continuous,Which sentence is incorrect?,He is play football,He is playing football,They are studying,I am working,option_1
3,Past Simple,Which tense is used for completed actions in the past?,Past simple,Present simple,Present continuous,Future simple,option_1
3,Past Simple,Which word is often used with past simple?,Yesterday,Now,Always,Tomorrow,option_1
3,Past Simple,Which sentence is correct?,They visited us last week,They visit us last week,They are visiting us last week,They will visit us last week,option_1
3,Past Simple,Regular verbs in past simple end with:,-ed,-ing,-s,-es,option_1
3,Past Simple,Which sentence is past simple?,I watched a movie,I am watching a movie,I watch movies,I will watch a movie,option_1
4,Past Continuous,Past continuous is used to describe:,An action in progress in the past,A habit,A future plan,A fact,option_1
4,Past Continuous,Which sentence is in past continuous?,She was reading when I arrived,She reads when I arrive,She read when I arrived,She will read when I arrive,option_1
4,Past Continuous,Past continuous is formed using:,was/were + verb-ing,verb + ed,am/is/are + verb-ing,will + verb,option_1
4,Past Continuous,Which word is common with past continuous?,While,Always,Tomorrow,Every day,option_1
4,Past Continuous,Which sentence is incorrect?,They were play football,They were playing football,I was studying,She was sleeping,option_1
5,Future Simple,Future simple is formed using:,will + base verb,verb + ed,am/is/are + verb-ing,was/were + verb-ing,option_1
5,Future Simple,Which sentence is future simple?,I will travel tomorrow,I travel tomorrow,I am traveling tomorrow,I traveled tomorrow,option_1
5,Future Simple,Future simple is often used for:,Decisions made at the moment,Past habits,Daily routines,Actions now,option_1
5,Future Simple,Which word signals future simple?,Tomorrow,Yesterday,Now,Always,option_1
5,Future Simple,Which sentence is correct?,She will call you later,She calls you later,She is call you later,She called you later,option_1
6,Present Perfect,Present perfect is formed using:,have/has + past participle,verb + ed,was/were + verb-ing,will + verb,option_1
6,Present Perfect,Which sentence is present perfect?,I have finished my homework,I finished my homework,I am finishing my homework,I will finish my homework,option_1
6,Present Perfect,Present perfect connects the past with:,The present,The future,Another past,Time expressions only,option_1
6,Present Perfect,Which word is common with present perfect?,Already,Yesterday,Last year,At 5 o'clock,option_1
6,Present Perfect,Which sentence is incorrect?,She have eaten lunch,She has eaten lunch,They have finished,I have done my work,option_1
